id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.1
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.6,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.4,80,0.59,0.6,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block Party Summer,Street Canvas,hip-hop,energetic,0.83,97,0.76,0.88,0.11
12,Hollow Road,Cedar & Ash,folk,melancholic,0.31,70,0.28,0.34,0.91
13,Pulse Grid,Synthara,electronic,energetic,0.89,128,0.66,0.91,0.04
14,Velvet Evening,Marisol Keys,soul,romantic,0.52,86,0.78,0.58,0.74
15,Iron Cathedral,Gravemass,metal,intense,0.96,168,0.22,0.51,0.06
16,Calor de Noche,Trio Dorado,latin,playful,0.71,104,0.83,0.87,0.43
17,Porch Light Blues,Dusty Heller,blues,nostalgic,0.44,79,0.45,0.39,0.88
18,Still Water Sonata,Elara Voss,classical,introspective,0.19,64,0.61,0.22,0.97
19,Blinding Lights,The Weeknd,pop,moody,0.73,171,0.33,0.51,0.0
20,Shape of You,Ed Sheeran,pop,energetic,0.65,96,0.93,0.83,0.58
21,Uptown Funk,Bruno Mars,pop,energetic,0.91,115,0.95,0.9,0.01
22,Dance Monkey,Tones And I,pop,energetic,0.82,98,0.76,0.83,0.02
23,Someone Like You,Adele,pop,melancholic,0.3,68,0.16,0.34,0.99
24,Rolling in the Deep,Adele,pop,intense,0.84,105,0.58,0.74,0.02
25,Stay With Me,Sam Smith,pop,melancholic,0.34,84,0.29,0.48,0.01
26,Happy,Pharrell Williams,pop,happy,0.82,160,0.96,0.84,0.18
27,Shake It Off,Taylor Swift,pop,energetic,0.8,160,0.94,0.65,0.08
28,Bad Guy,Billie Eilish,pop,moody,0.66,135,0.56,0.7,0.0
29,Watermelon Sugar,Harry Styles,pop,happy,0.82,95,0.91,0.55,0.12
30,Levitating,Dua Lipa,pop,energetic,0.82,103,0.92,0.7,0.01
31,As It Was,Harry Styles,pop,melancholic,0.73,124,0.64,0.52,0.0
32,Anti-Hero,Taylor Swift,pop,melancholic,0.52,97,0.47,0.67,0.1
33,Flowers,Miley Cyrus,pop,happy,0.62,118,0.8,0.73,0.01
34,Cruel Summer,Taylor Swift,pop,energetic,0.7,170,0.71,0.55,0.0
35,Peaches,Justin Bieber,pop,happy,0.61,90,0.85,0.67,0.07
36,Good 4 U,Olivia Rodrigo,pop,energetic,0.9,166,0.67,0.56,0.02
37,drivers license,Olivia Rodrigo,pop,melancholic,0.43,72,0.14,0.33,0.76
38,Dynamite,BTS,pop,happy,0.73,114,0.74,0.74,0.02
39,Butter,BTS,pop,energetic,0.83,111,0.87,0.81,0.01
40,Heat Waves,Glass Animals,pop,nostalgic,0.53,80,0.4,0.52,0.07
41,Sunflower,Post Malone,pop,happy,0.48,94,0.88,0.77,0.27
42,Circles,Post Malone,pop,melancholic,0.53,121,0.6,0.69,0.15
43,Perfect,Ed Sheeran,pop,romantic,0.44,95,0.56,0.46,0.8
44,Love Yourself,Justin Bieber,pop,happy,0.44,100,0.78,0.62,0.84
45,Sorry,Justin Bieber,pop,happy,0.72,100,0.94,0.59,0.0
46,Cheap Thrills,Sia,pop,energetic,0.83,160,0.91,0.81,0.26
47,Chandelier,Sia,pop,intense,0.68,132,0.53,0.35,0.01
48,Firework,Katy Perry,pop,energetic,0.71,125,0.66,0.5,0.01
49,Roar,Katy Perry,pop,energetic,0.79,113,0.86,0.66,0.07
50,Born This Way,Lady Gaga,pop,energetic,0.84,137,0.72,0.71,0.0
51,Just Dance,Lady Gaga,pop,energetic,0.93,119,0.92,0.82,0.01
52,We Found Love,Rihanna,pop,energetic,0.81,128,0.72,0.72,0.01
53,Diamonds,Rihanna,pop,romantic,0.55,124,0.53,0.47,0.03
54,Hello,Adele,pop,melancholic,0.46,80,0.22,0.37,0.39
55,Someone You Loved,Lewis Capaldi,pop,melancholic,0.37,110,0.25,0.54,0.77
56,Bad Habits,Ed Sheeran,pop,energetic,0.88,126,0.7,0.8,0.0
57,Stay,The Kid LAROI,pop,energetic,0.82,170,0.8,0.73,0.0
58,Unholy,Sam Smith,pop,moody,0.72,130,0.37,0.7,0.03
59,Calm Down,Rema,pop,happy,0.77,106,0.86,0.74,0.14
60,Riptide,Vance Joy,pop,happy,0.46,94,0.83,0.6,0.78
61,Africa,Toto,pop,nostalgic,0.66,92,0.56,0.48,0.15
62,September,Earth Wind & Fire,pop,happy,0.87,126,0.97,0.82,0.04
63,Eye of the Tiger,Survivor,pop,intense,0.9,109,0.44,0.61,0.0
64,Mr. Brightside,The Killers,pop,moody,0.89,148,0.54,0.53,0.01
65,Take On Me,a-ha,pop,happy,0.87,169,0.91,0.63,0.02
66,Don't Stop Believin',Journey,pop,energetic,0.82,119,0.76,0.67,0.03
67,Can't Help Falling in Love,Elvis Presley,pop,romantic,0.28,68,0.81,0.35,0.97
68,Sweet Caroline,Neil Diamond,pop,happy,0.62,124,0.89,0.54,0.36
69,Titanium,David Guetta ft. Sia,pop,energetic,0.77,126,0.49,0.65,0.01
70,Stronger,Kelly Clarkson,pop,energetic,0.84,137,0.76,0.72,0.01
71,Since U Been Gone,Kelly Clarkson,pop,energetic,0.88,144,0.8,0.72,0.01
72,Toxic,Britney Spears,pop,playful,0.85,143,0.83,0.8,0.01
73,...Baby One More Time,Britney Spears,pop,energetic,0.78,100,0.84,0.74,0.03
74,Wrecking Ball,Miley Cyrus,pop,intense,0.49,72,0.3,0.38,0.09
75,Party in the U.S.A.,Miley Cyrus,pop,happy,0.81,140,0.92,0.69,0.03
76,Teenage Dream,Katy Perry,pop,happy,0.78,120,0.88,0.72,0.03
77,Last Friday Night,Katy Perry,pop,playful,0.83,126,0.9,0.75,0.03
